ClienteCPF;ClienteNome;ClienteSobrenome;ClienteSexo;ClienteNascimento;ClienteEstadoCivil;ClienteRua;ClienteNumero;ClienteBairro;ClienteCEP;ClienteCidade;ClienteEstado;ClientePais;ClienteRendaAnual;ClienteTelefone;ClienteEmail
845.067.718-92;Samantha;Long;F;1983-02-13 00:00:00.000;S;CONJ. DOM GREGORIO WARMELLING;63;JARDIM IRIRIU;89217100;JOINVILLE;SC;BRASIL;40000;175-555-0139;samantha35@adventure-works.com
523.044.912-87;Julia;Wright;F;1981-12-04 00:00:00.000;S;GRAUNA;262;COSTA E SILVA;89224-485;JOINVILLE;SC;NULL;40000;456-555-0174;julia17@adventure-works.com
477.485.500-96;Caroline;Russell;F;1980-05-19 00:00:00.000;S;PICAPAU;275;AVENTUREIRO;89215300;JOINVILLE;SC;BRASIL;30000;424-555-0137;caroline21@adventure-works.com
348.683.414-64;Amanda;Rivera;F;1983-07-11 00:00:00.000;S;R. DES. NELSON NUNES GUIMARAES;811;ATIRADORES;89211695;JOINVILLE;SC;BRASIL;30000;918-555-0126;amanda7@adventure-works.com
999.714.789-74;Melissa;Richardson;F;1983-09-18 00:00:00.000;S;ARACUA;330;COSTA E SILVA;89216560;JOINVILLE;SC;BRASIL;30000;928-555-0118;melissa31@adventure-works.com
548.878.141-27;Angela;Griffin;F;1984-01-08 00:00:00.000;S;AROLD CARLOS MIERS;506;VILA NOVA;89201800;JOINVILLE;SC;BRASIL;30000;598-555-0174;angela23@adventure-works.com
999.109.918-13;Larry;Townsend;M;1983-08-18 00:00:00.000;S;OTTO BOEHM;649;CENTRO;89222530;JOINVILLE;SC;BRASIL;10000;1 (11) 500 555-0130;larry14@adventure-works.com
055.590.601-89;Marcus;Harris;M;1980-12-30 00:00:00.000;S;CORUPA;650;ANITA GARIBALDI;89217100;JOINVILLE;SC;BRASIL;30000;442-555-0119;marcus14@adventure-works.com
412.908.396-94;Brianna;Morgan;F;1982-11-10 00:00:00.000;S;RUI BARBOSA;1625;COSTA E SILVA;89224125;JOINVILLE;SC;BRASIL;40000;954-555-0117;brianna30@adventure-works.com
262.461.118-35;Jasmine;Taylor;F;1984-08-22 00:00:00.000;S;ITUPORANGA;135;BOM RETIRO;89225327;JOINVILLE;SC;BRASIL;40000;557-555-0146;jasmine7@adventure-works.com
705.761.461-14;Lauren;Davis;F;1984-01-09 00:00:00.000;S;VITOR HUGO;227;FLORESTA;89295000;JOINVILLE;SC;BRASIL;40000;832-555-0121;lauren23@adventure-works.com
916.841.592-15;Tanya;Moreno;F;1984-05-10 00:00:00.000;S;PORTO UNIAO;601;ANITA GARIBALDI;89223100;JOINVILLE;SC;BRASIL;30000;1 (11) 500 555-0185;tanya2@adventure-works.com
155.254.630-87;Javier;Alvarez;M;1981-12-21 00:00:00.000;S;ROBERTO KOCH;135;CENTRO;89211025;JOINVILLE;SC;NULL;30000;763-555-0134;javier1@adventure-works.com
294.172.755-93;Nicole;Ramirez;F;1982-06-29 00:00:00.000;S;DOS DESENHISTAS;289;PETROPOLIS;89210101;JOINVILLE;SC;BRASIL;40000;152-555-0162;nicole42@adventure-works.com
308.568.135-93;Eduardo;Patterson;M;1981-04-27 00:00:00.000;S;SANTA MONICA;122;BOA VISTA;89201500;JOINVILLE;SC;NULL;40000;190-555-0184;eduardo55@adventure-works.com
235.728.438-78;Jonathan;Henderson;M;1981-05-12 00:00:00.000;S;BORBA GATO;700;ATIRADORES;89201500;JOINVILLE;SC;BRASIL;40000;149-555-0113;jonathan4@adventure-works.com
842.003.263-38;Edward;Hernandez;M;1982-07-24 00:00:00.000;S;ORESTES GUIMARAES;244;CENTRO;88400000;JOINVILLE;SC;BRASIL;40000;178-555-0196;edward48@adventure-works.com
132.221.524-49;Jasmine;Coleman;F;1982-08-27 00:00:00.000;S;R. SAMUEL HEUSY;187;BOM RETIRO;89201330;JOINVILLE;SC;BRASIL;40000;857-555-0115;jasmine46@adventure-works.com
718.513.378-36;Karla;Goel;F;1983-06-05 00:00:00.000;S;PAULO MALSCHITZKI;10;ZONA INDUSTRIAL;89201330;JOINVILLE;SC;NULL;40000;1 (11) 500 555-0137;karla20@adventure-works.com
051.256.647-69;Ernest;Wu;M;1983-04-11 00:00:00.000;S;DOS CRAVOS;275;GUANABARA;89204001;JOINVILLE;SC;BRASIL;60000;1 (11) 500 555-0139;ernest6@adventure-works.com
994.813.337-92;Ross;Vazquez;M;1981-11-23 00:00:00.000;S;SENADOR FELIPE SCHMIDT;362;CENTRO;89216200;JOINVILLE;SC;BRASIL;40000;1 (11) 500 555-0163;ross32@adventure-works.com
470.199.711-20;Theodore;Gill;M;1984-04-18 00:00:00.000;S;JOSE SALOMON;108;COSTA E SILVA;89216110;JOINVILLE;SC;BRASIL;40000;1 (11) 500 555-0194;theodore14@adventure-works.com
478.794.727-85;Russell;Shen;M;1984-02-27 00:00:00.000;S;R. JUSTINA I DA SILVA;310;FLORESTA;89201260;JOINVILLE;SC;BRASIL;40000;1 (11) 500 555-0191;russell6@adventure-works.com
964.097.850-64;Melinda;Gill;F;1983-11-23 00:00:00.000;S;GENERAL SAMPAIO;63;ATIRADORES;89200000;JOINVILLE;SC;BRASIL;60000;1 (11) 500 555-0117;melinda9@adventure-works.com
808.907.539-28;James;Williams;M;1981-07-24 00:00:00.000;S;ARNO KUMELHN;193;BOM RETIRO;89223-140;JOINVILLE;SC;BRASIL;40000;355-555-0153;james77@adventure-works.com
319.148.987-92;Angela;James;F;1983-06-27 00:00:00.000;S;AQUINO MORBIS;460;JARIVATUBA;89217210;JOINVILLE;SC;BRASIL;40000;847-555-0111;angela34@adventure-works.com
672.467.642-99;Megan;Walker;F;1980-10-25 00:00:00.000;S;AV. PROCOPIO GOMES;130;CENTRO;89211110;JOINVILLE;SC;BRASIL;40000;918-555-0186;megan25@adventure-works.com
957.284.339-96;Hunter;Robinson;M;1980-03-01 00:00:00.000;S;SERRA AZUL;1068;JARDIM IRIRIU;89223330;JOINVILLE;SC;BRASIL;40000;891-555-0125;hunter50@adventure-works.com
878.727.375-38;Maria;Roberts;F;1983-09-12 00:00:00.000;S;DAMASIO A.MACHADO;77;JARDIM IRIRIU;89248-000;JOINVILLE;SC;BRASIL;40000;158-555-0199;maria47@adventure-works.com
890.924.082-96;Hannah;Long;F;1980-05-19 00:00:00.000;S;FORTUNATO ZANELLA;43;BOM RETIRO;89210-020;JOINVILLE;SC;NULL;40000;974-555-0177;hannah32@adventure-works.com
586.557.171-36;Jason;Wright;M;1983-01-08 00:00:00.000;S;R. MINISTRO CALOGERAS;1750;ATIRADORES;89203410;JOINVILLE;SC;BRASIL;40000;694-555-0176;jason46@adventure-works.com
905.590.704-89;Brianna;Hughes;F;1981-01-15 00:00:00.000;S;TENENTE ANTONIO JOAO;2655;BOM RETIRO;89210340;JOINVILLE;SC;NULL;40000;319-555-0183;brianna57@adventure-works.com
975.272.231-91;Maurice;Tang;M;1983-02-25 00:00:00.000;S;TENENTE ANTONIO JOAO;265;BOM RETIRO;89222490;JOINVILLE;SC;Brasil;40000;947-555-0172;maurice4@adventure-works.com
919.918.054-93;Emily;Wood;F;1983-02-25 00:00:00.000;S;HENRIQUE CAETANO DA SILVA;222;ITAUM;89216560;JOINVILLE;SC;BRASIL;40000;184-555-0114;emily27@adventure-works.com
481.836.487-21;Chase;Cox;M;1983-12-16 00:00:00.000;S;ALBANO SCHMIDT;1499;BOA VISTA;89216110;JOINVILLE;SC;NULL;40000;764-555-0116;chase10@adventure-works.com
118.122.031-53;Gabriel;Wang;M;1982-06-14 00:00:00.000;S;PAPA PIO XII;624;BOM RETIRO;89227-320;JOINVILLE;SC;BRASIL;40000;617-555-0150;gabriel21@adventure-works.com
936.927.232-55;Devin;Brooks;M;1981-09-04 00:00:00.000;S;OTAVIO MANGABEIRA;37;BOM RETIRO;89223-100;JOINVILLE;SC;NULL;40000;502-555-0138;devin63@adventure-works.com
153.329.281-11;Jocelyn;Alexander;F;1982-05-18 00:00:00.000;S;BERNARDO STAMM;184;FLORESTA;89221550;JOINVILLE;SC;BRASIL;60000;354-555-0134;jocelyn18@adventure-works.com
111.834.114-55;Ashley;Martinez;F;1980-06-15 00:00:00.000;S;MARECHAL HERMES;410;COSTA E SILVA;89223240;JOINVILLE;SC;BRASIL;70000;131-555-0194;ashley18@adventure-works.com
668.258.959-32;Jasmine;Barnes;F;1983-10-17 00:00:00.000;S;EUGENIO MOREIRA;35;ATIRADORES;89201030;JOINVILLE;SC;BRASIL;80000;178-555-0156;jasmine43@adventure-works.com
751.204.686-15;David;Rodriguez;M;1983-06-10 00:00:00.000;S;PRESIDENTE PRUDENTE  DE MORAES;555;STO ANTONIO;89201-440;JOINVILLE;SC;BRASIL;80000;730-555-0128;david83@adventure-works.com
433.155.922-20;Bryce;Richardson;M;1983-05-22 00:00:00.000;S;SAO PAULO;1305;BUCAREIM;89227-000;JOINVILLE;SC;BRASIL;90000;178-555-0176;bryce8@adventure-works.com
908.486.382-28;Carol;Howard;F;1982-08-06 00:00:00.000;S;COELHO NETO;645;STO ANTONIO;89222540;JOINVILLE;SC;BRASIL;90000;845-555-0127;carol5@adventure-works.com
073.050.021-12;Jonathan;Hill;M;1981-07-26 00:00:00.000;C;CEL. FRANCISCO GOMES;115;ANITA GARIBALDI;89225420;JOINVILLE;SC;BRASIL;100000;134-555-0196;jonathan43@adventure-works.com
628.966.108-04;Gabrielle;Adams;F;1981-09-09 00:00:00.000;S;EDGAR PINHEIRO;106;COSTA E SILVA;89223120;JOINVILLE;SC;BRASIL;100000;403-555-0152;gabrielle58@adventure-works.com
734.250.039-72;Sarah;Thomas;F;1980-04-28 00:00:00.000;S;TENENTE NEVES;12;ITAUM;89201490;JOINVILLE;SC;BRASIL;110000;868-555-0188;sarah13@adventure-works.com
748.109.993-28;Nicholas;Robinson;M;1981-09-11 00:00:00.000;S;REZENDE;331;BOM RETIRO;89222-550;JOINVILLE;SC;BRASIL;110000;949-555-0138;nicholas19@adventure-works.com
204.476.056-74;Luis;Wang;M;1982-06-07 00:00:00.000;S;ESPERANTO;66;CENTRO;89224150;JOINVILLE;SC;BRASIL;70000;418-555-0127;luis24@adventure-works.com
595.334.298-44;Mason;Roberts;M;1983-10-16 00:00:00.000;S;LEOPOLDO FISCHER;266;ATIRADORES;89222450;JOINVILLE;SC;BRASIL;90000;539-555-0162;mason25@adventure-works.com
583.095.740-87;Jose;Flores;M;1981-09-19 00:00:00.000;S;FRANCISCO BERNSTEIN;135;GUANABARA;89216400;JOINVILLE;SC;BRASIL;110000;157-555-0182;jose6@adventure-works.com
010.444.598-11;Nathan;Johnson;M;1982-12-15 00:00:00.000;S;HELMUTH FALLGATTER;484;BOA VISTA;89212100;JOINVILLE;SC;NULL;100000;117-555-0182;nathan55@adventure-works.com
813.985.309-74;Molly;Rodriguez;F;1983-02-21 00:00:00.000;S;OTTO BENACK;36;BOM RETIRO;89223002;JOINVILLE;SC;BRASIL;120000;135-555-0185;molly18@adventure-works.com
660.878.931-89;April;Anand;F;1983-01-30 00:00:00.000;S;CORUPA;301;ATIRADORES;89227600;JOINVILLE;SC;Brasil;160000;702-555-0144;april18@adventure-works.com
634.582.774-79;Devin;Martin;M;1981-04-01 00:00:00.000;S;RUA DOS ENGENHEIROS;492;ITINGA;89227437;JOINVILLE;SC;BRASIL;170000;735-555-0197;devin13@adventure-works.com
169.212.380-37;Stephanie;Torres;F;1982-05-18 00:00:00.000;S;R. ISMAEL C CORREA;93;SAGACU;89217530;JOINVILLE;SC;BRASIL;70000;567-555-0176;stephanie19@adventure-works.com
379.358.853-29;Jasmine;Lee;F;1982-09-11 00:00:00.000;C;PADRE KOLB;99;BUCAREIN;89227201;JOINVILLE;SC;BRASIL;70000;147-555-0199;jasmine19@adventure-works.com
515.245.604-12;Meghan;Hernandez;F;1982-08-13 00:00:00.000;S;EUGENIO MOREIRA;444;ANITA GARIBALDI;89212060;JOINVILLE;SC;BRASIL;70000;967-555-0188;meghan3@adventure-works.com
188.372.593-06;Ashley;Henderson;F;1981-10-08 00:00:00.000;S;PADRE KOLB;1168;BUCAREIN;89227530;JOINVILLE;SC;BRASIL;70000;173-555-0121;ashley31@adventure-works.com
104.381.547-29;Sarah;Price;F;1982-04-21 00:00:00.000;C;RUA RESENDE;187;BOM RETIRO;89211360;JOINVILLE;SC;BRASIL;70000;180-555-0133;sarah25@adventure-works.com
673.440.572-95;Jennifer;Cooper;F;1981-01-21 00:00:00.000;S;OLAVO BILAC;905;PIRABEIRABA;89210120;JOINVILLE;SC;BRASIL;60000;857-555-0111;jennifer63@adventure-works.com
341.944.879-34;Catherine;Morris;F;1980-11-23 00:00:00.000;S;VALDOMIRO ROSA;1329;ADEMAR GARCIA;89217-500;JOINVILLE;SC;BRASIL;60000;795-555-0117;catherine16@adventure-works.com
796.367.140-81;Lawrence;Blanco;M;1982-10-20 00:00:00.000;S;TENENTE ANTONIO JOAO;277;BOM RETIRO;89216550;JOINVILLE;SC;BRASIL;60000;656-555-0171;lawrence14@adventure-works.com
423.138.051-45;Carson;Bryant;M;1980-08-24 00:00:00.000;S;ROBERTO PONICK;189;BOM RETIRO;89210240;JOINVILLE;SC;BRASIL;70000;240-555-0142;carson17@adventure-works.com
478.937.226-93;Kristi;Perez;F;1982-05-13 00:00:00.000;S;CIDADE DE PETROLANDIA;60;PROFIPO;89222550;JOINVILLE;SC;BRASIL;70000;123-555-0181;kristi39@adventure-works.com
750.276.328-60;James;Brown;M;1981-09-28 00:00:00.000;S;PRES. PRUDENTE DE MORAES;1079;STO. ANTONIO;89212200;JOINVILLE;SC;BRASIL;60000;725-555-0117;james79@adventure-works.com
122.938.276-14;Ian;Gray;M;1980-09-01 00:00:00.000;S;INACIO BASTOS;1455;BUCAREN;89202-003;JOINVILLE;SC;NULL;60000;596-555-0190;ian72@adventure-works.com
691.853.278-57;Jacqueline;Price;F;1981-11-13 00:00:00.000;S;ALBANO SCHMIDT;1499;BOA VISTA;89210050;JOINVILLE;SC;NULL;60000;266-555-0112;jacqueline0@adventure-works.com
813.133.459-80;Megan;Henderson;F;1981-08-31 00:00:00.000;S;ANTONIO HOEPFNER;52;ANITA GARIBALDI;89203060;JOINVILLE;SC;BRASIL;60000;560-555-0150;megan55@adventure-works.com
852.583.167-09;Alfredo;Romero;M;1980-09-13 00:00:00.000;S;TAMOIO;99;NOVA BRASILIA;89204020;JOINVILLE;SC;BRASIL;60000;342-555-0110;alfredo10@adventure-works.com
121.844.213-67;Andrea;Morris;F;1981-07-12 00:00:00.000;S;LAGES;337;CENTRO;89222060;JOINVILLE;SC;BRASIL;70000;715-555-0178;andrea18@adventure-works.com
846.839.125-13;Brooke;Sanders;F;1981-10-03 00:00:00.000;S;AUGUSTO BOETTCHER;664;FLORESTA;89217-040;JOINVILLE;SC;NULL;70000;215-555-0156;brooke3@adventure-works.com
732.365.124-95;Jacqueline;Bennett;F;1981-04-23 00:00:00.000;S;Habib Farah;137;Aventureiro;89201020;JOINVILLE;SC;BRASIL;70000;413-555-0174;jacqueline1@adventure-works.com
165.739.072-08;Jason;Griffin;M;1982-05-16 00:00:00.000;S;LEAO XIII;345;BOM RETIRO;89201480;JOINVILLE;SC;BRASIL;70000;232-555-0160;jason18@adventure-works.com
527.404.423-53;Amanda;Foster;F;1981-12-27 00:00:00.000;S;R. GUIALOPES;265;STO.ANTONIO;89220440;JOINVILLE;SC;NULL;70000;505-555-0159;amanda37@adventure-works.com
901.092.507-25;Alexia;Price;F;1980-09-09 00:00:00.000;S;R. BRASIL;280;BOM RETIRO;89210-040;JOINVILLE;SC;BRASIL;80000;552-555-0118;alexia0@adventure-works.com
249.616.126-10;Luis;Diaz;M;1981-08-28 00:00:00.000;S;TIJUCAS;235;BOM RETIRO;89223-260;JOINVILLE;SC;BRASIL;40000;171-555-0126;luis21@adventure-works.com
631.823.833-18;Destiny;Rivera;F;1982-06-01 00:00:00.000;S;R. HELENA DEGELMAN;160;COSTA E SILVA;89204140;JOINVILLE;SC;BRASIL;40000;743-555-0111;destiny33@adventure-works.com
127.087.633-06;Abby;Fernandez;F;1980-09-06 00:00:00.000;S;MARIA J. DE OLIVEIRA;170;ITAUM COSTA;89223280;JOINVILLE;SC;BRASIL;40000;134-555-0119;abby13@adventure-works.com
608.447.799-13;Blake;Flores;M;1983-01-31 00:00:00.000;S;RUA FARROUPILHA;1207;FLORESTA;89240000;JOINVILLE;SC;BRASIL;60000;975-555-0163;blake60@adventure-works.com
742.035.058-52;Danielle;Cox;F;1983-04-08 00:00:00.000;S;R. JOSE GOMES DE FREITAS;107;ATIRADORES;89222400;JOINVILLE;SC;BRASIL;60000;396-555-0158;danielle12@adventure-works.com
224.724.324-03;Maria;Reed;F;1983-06-12 00:00:00.000;S;BASILISSA CUNHA CASTRO;73;AVENTUREIRO;89216360;JOINVILLE;SC;BRASIL;60000;156-555-0163;maria4@adventure-works.com
463.587.600-85;Allison;Evans;F;1983-07-16 00:00:00.000;S;PRES. WASHINGTON LUIS;328;BOM RETIRO;89210500;JOINVILLE;SC;BRASIL;60000;988-555-0151;allison21@adventure-works.com
813.669.512-81;Edward;Wood;M;1983-03-21 00:00:00.000;S;PIO SANTANA;337;AVENTUREIRO;89204060;JOINVILLE;SC;BRASIL;70000;229-555-0114;edward50@adventure-works.com
755.122.765-83;Samantha;Russell;F;1983-03-08 00:00:00.000;S;R. DO PRINCIPE;330;CENTRO;89227410;JOINVILLE;SC;BRASIL;40000;547-555-0121;samantha42@adventure-works.com
064.422.645-70;Chloe;Campbell;F;1983-01-04 00:00:00.000;S;ALEXANDRE DOHLER;301;CENTRO;89204010;JOINVILLE;SC;BRASIL;40000;205-555-0169;chloe4@adventure-works.com
493.246.435-65;Stephanie;Murphy;F;1982-12-17 00:00:00.000;S;R. REZENDE;76;BOM RETIRO;89204060;JOINVILLE;SC;NULL;60000;293-555-0151;stephanie11@adventure-works.com
913.160.745-95;Charles;Miller;M;1983-12-13 00:00:00.000;S;R. MOZART;275;FORESTA;89211400;JOINVILLE;SC;BRASIL;60000;389-555-0115;charles9@adventure-works.com
343.262.033-95;Ana;Perry;F;1983-06-11 00:00:00.000;S;R. WILLY A JACOB;56;COSTA E SILVA;JOINVILLE;BRASIL;CENTRO;SC;40000;446-555-0134;ana7@adventure-works.com
353.445.864-65;Jasmine;Torres;F;1982-11-06 00:00:00.000;S;R. CUBA;130;BUCAREIN;89211610;JOINVILLE;SC;BRASIL;60000;939-555-0130;jasmine32@adventure-works.com
773.015.256-24;Natalie;Adams;F;1982-03-19 00:00:00.000;S;R. ALFERES SCHIMIDT;104;BOA VISTA;89223010;JOINVILLE;SC;BRASIL;60000;300-555-0150;natalie58@adventure-works.com
804.093.017-48;Olivia;Brown;F;1983-02-18 00:00:00.000;S;R. PITATUBA;1165;CENTRO;89222430;JOINVILLE;SC;BRASIL;60000;414-555-0147;olivia4@adventure-works.com
663.564.578-09;Charles;Cook;M;1981-04-02 00:00:00.000;S;R. EXPEDICIONARIO HOLZ;333;CENTRO;89216210;JOINVILLE;SC;NULL;60000;755-555-0111;charles69@adventure-works.com
134.734.583-38;Erica;Huang;F;1983-01-31 00:00:00.000;S;R. NOVA TRENTO;314;BOM RETIRO;89212056;JOINVILLE;SC;BRASIL;60000;618-555-0157;erica5@adventure-works.com
602.809.914-91;Nathan;Perry;M;1980-09-19 00:00:00.000;S;CEL. LUIZ PERINI;115;ITAUM;89216120;JOINVILLE;SC;BRASIL;70000;271-555-0191;nathan3@adventure-works.com
425.930.132-75;Alexandra;Rivera;F;1981-05-15 00:00:00.000;S;R. PADRE KOLB;1000;BUCAREIN;89225230;JOINVILLE;SC;NULL;80000;488-555-0143;alexandra11@adventure-works.com
302.182.072-59;Hailey;Patterson;F;1981-12-21 00:00:00.000;S;AFONSO PENA;565;BUCAREIM;89211440;JOINVILLE;SC;BRASIL;70000;480-555-0126;hailey30@adventure-works.com
346.307.885-11;Tiffany;Li;F;1983-01-07 00:00:00.000;S;MADEIRA;261;GUANABARA;89222550;JOINVILLE;SC;BRASIL;70000;197-555-0118;tiffany3@adventure-works.com
213.738.032-55;Madison;Lee;F;1984-03-01 00:00:00.000;S;R. MINISTRO CALOGERAS;500;CENTRO;89201205;JOINVILLE;SC;BRASIL;60000;471-555-0142;madison22@adventure-works.com
944.072.216-33;Sydney;Ross;F;1983-02-21 00:00:00.000;S;PAULA MAYERLE WOLF;564;PARQUE GUARANI;89201700;JOINVILLE;SC;BRASIL;60000;219-555-0146;sydney26@adventure-works.com
204.400.105-50;Marshall;Chavez;M;1983-10-28 00:00:00.000;S;R. HAROLD CARLOS MIERS;506;VILA NOVA;89201340;JOINVILLE;SC;BRASIL;60000;712-555-0116;marshall35@adventure-works.com
325.911.089-16;Ashley;Jones;F;1985-02-06 00:00:00.000;S;R. DIRINGSHOFFEN;745;ANITA GARIBALDE;89204010;JOINVILLE;SC;BRASIL;60000;996-555-0169;ashley3@adventure-works.com
343.113.068-37;Adrian;Stewart;M;1984-05-22 00:00:00.000;S;R. PROF. EUNALDO VERDI;445;JARDIM SOFIA;89201400;JOINVILLE;SC;BRASIL;70000;812-555-0122;adrian21@adventure-works.com
063.734.430-34;Amber;Turner;F;1984-04-30 00:00:00.000;S;R. REPUBLICA DA CHINA;238;FLORESTA;89201300;JOINVILLE;SC;BRASIL;70000;155-555-0131;amber4@adventure-works.com
392.603.989-45;Dennis;Zhang;M;1984-02-25 00:00:00.000;S;R. XV DE NOVEMBRO;8200;VILA NOVA;89225300;JOINVILLE;SC;BRASIL;60000;710-555-0134;dennis1@adventure-works.com
585.833.879-91;Hailey;Bryant;F;1984-08-30 00:00:00.000;S;BARBOSA RODRIGUES;138;BOM RETIRO;89201-700;JOINVILLE;SC;NULL;60000;156-555-0195;hailey38@adventure-works.com
406.393.156-42;Todd;Li;M;1983-10-07 00:00:00.000;S;CIDADE CARAPICUIBA;67;ITINGA;89222500;JOINVILLE;SC;BRASIL;70000;680-555-0147;todd5@adventure-works.com
296.821.529-42;Anna;Griffin;F;1983-07-18 00:00:00.000;S;RUA DESEMBARGADOR NELSON NUNES GUIMARÃES;811;ATIRADORES;89211-300;JOINVILLE;SC;BRASIL;70000;965-555-0146;anna46@adventure-works.com
749.494.211-40;Angel;Stewart;M;1983-01-15 00:00:00.000;S;MARIA JUDITH L. PEREIRA;153;COSTA E SILVA;89225500;JOINVILLE;SC;BRASIL;70000;540-555-0122;angel24@adventure-works.com
797.595.272-03;Jeremy;Butler;M;1980-12-05 00:00:00.000;S;ANTONIO PEREIRA DE MACEDO;189;ITAUM;89227071;JOINVILLE;SC;BRASIL;70000;980-555-0117;jeremy29@adventure-works.com
999.726.787-41;Clarence;Anand;M;1982-09-04 00:00:00.000;S;R. DIOGO S PEREIRA;225;GUANABARA;89216250;JOINVILLE;SC;BRASIL;130000;1 (11) 500 555-0191;clarence36@adventure-works.com
767.491.671-71;Mayra;Prasad;F;1980-10-27 00:00:00.000;S;R. BENJAMINN CONSTANT;2800;GUANABARA;89201-500;JOINVILLE;SC;BRASIL;130000;1 (11) 500 555-0116;mayra9@adventure-works.com
746.126.201-92;Latoya;Goel;F;1983-12-04 00:00:00.000;S;R. ITORORO;542;BOM RETIRO;89201500;JOINVILLE;SC;BRASIL;130000;1 (11) 500 555-0149;latoya18@adventure-works.com
914.054.847-25;Anne;Hernandez;F;1982-01-30 00:00:00.000;S;RUA GRACÍOSA;1092;GUANABARA;89232010;JOINVILLE;SC;BRASIL;160000;1 (11) 500 555-0119;anne4@adventure-works.com
493.133.951-52;Lisa;Cai;F;1980-03-07 00:00:00.000;S;R. CIDADE TREZE TILIAS;163;SANTA CATARINA;89204040;JOINVILLE;SC;BRASIL;100000;1 (11) 500 555-0125;lisa24@adventure-works.com
421.803.162-73;Larry;Munoz;M;1984-03-13 00:00:00.000;S;R. GAROPABA;70;FLORESTA;89223385;JOINVILLE;SC;BRASIL;110000;1 (11) 500 555-0193;larry9@adventure-works.com
634.611.055-49;Robin;Alvarez;F;1983-10-26 00:00:00.000;S;R. BENTIVI;407;COSTA E SILVA;89223100;JOINVILLE;SC;BRASIL;150000;1 (11) 500 555-0198;robin2@adventure-works.com
994.953.761-19;Alexis;Coleman;F;1982-12-04 00:00:00.000;S;ARAQUA;150;COSTA E SILVA;89216530;JOINVILLE;SC;BRASIL;170000;1 (11) 500 555-0115;alexis28@adventure-works.com
662.871.613-02;Ricky;Vazquez;M;1981-03-11 00:00:00.000;S;MORRO DO OURO;263;BUCAREIN;89201710;JOINVILLE;SC;NULL;120000;1 (11) 500 555-0147;ricky15@adventure-works.com
482.632.482-70;Latasha;Rubio;F;1980-01-16 00:00:00.000;S;HENRIQUE MIERS;451;COSTA E SILVA;89201500;JOINVILLE;SC;NULL;120000;1 (11) 500 555-0178;latasha21@adventure-works.com
504.993.118-82;Claudia;Zhou;F;1982-05-27 00:00:00.000;S;CORONEL L PERINI;319;ITAUM;89224-060;JOINVILLE;SC;BRASIL;130000;1 (11) 500 555-0116;claudia7@adventure-works.com
622.133.254-76;Tristan;Alexander;M;1982-01-23 00:00:00.000;S;BRACO DO NORTE;726;ATIRADORES;89223100;JOINVILLE;SC;BRASIL;110000;1 (11) 500 555-0124;tristan19@adventure-works.com
939.633.331-11;Cindy;Patel;F;1980-03-11 00:00:00.000;S;AV. MARQUES DE OLINDA;1685;C E SILVA;89222-480;JOINVILLE;SC;BRASIL;130000;1 (11) 500 555-0149;cindy3@adventure-works.com
340.296.811-16;Shannon;Liu;F;1981-01-29 00:00:00.000;S;PERNAMBUCO;218;ANITA GARIBALDI;89201-250;JOINVILLE;SC;NULL;170000;1 (11) 500 555-0119;shannon4@adventure-works.com
653.140.632-80;Xavier;Long;M;1982-04-16 00:00:00.000;S;BENTO TORRES;57;FLORESTA;89212010;JOINVILLE;SC;BRASIL;30000;243-555-0114;xavier51@adventure-works.com
427.202.463-00;Nicholas;Thompson;M;1982-04-24 00:00:00.000;C;RUI BARBOSA;3227;COSTA E SILVA;89200000;JOINVILLE;SC;BRASIL;90000;377-555-0147;nicholas16@adventure-works.com
112.765.942-34;José;Hernandez;M;1981-09-25 00:00:00.000;S;IDA ANA ECCEL;355;ITAUM;89223100;JOINVILLE;SC;BRASIL;60000;712-555-0130;josé54@adventure-works.com
573.793.443-88;Johnathan;Vance;M;1982-11-16 00:00:00.000;C;R. JOSE SALOMON;219;COSTA E SILVA;89212000;JOINVILLE;SC;BRASIL;70000;494-555-0166;johnathan5@adventure-works.com
405.111.238-79;Colin;Lin;M;1984-04-16 00:00:00.000;S;R. ALBANO SCHIMIDT;1499;BOA VISTA;89211-500;JOINVILLE;SC;BRASIL;70000;599-555-0132;colin8@adventure-works.com
295.066.367-83;Katelyn;Hernandez;F;1982-07-07 00:00:00.000;S;RUA AFONSO PENNA;563;BUCAREM;89227710;JOINVILLE;SC;BRASIL;70000;249-555-0116;katelyn42@adventure-works.com
178.922.274-16;Jacqueline;Powell;F;1982-09-10 00:00:00.000;S;R. BENJAMIN CONSTANT;1798;CENTRO;89204030;JOINVILLE;SC;BRASIL;120000;796-555-0111;jacqueline9@adventure-works.com
368.248.817-25;Xavier;Hill;M;1980-01-24 00:00:00.000;S;DR. JOAO COLIN;2388;CENTRO;89201020;JOINVILLE;SC;BRASIL;120000;559-555-0149;xavier26@adventure-works.com
726.117.970-37;Victoria;Stewart;F;1981-03-18 00:00:00.000;S;LAGES;575;CENTRO;89201601;JOINVILLE;SC;BRASIL;100000;230-555-0139;victoria24@adventure-works.com
954.214.102-90;Katelyn;Kelly;F;1981-03-04 00:00:00.000;S;PAPA JOAO XXIII;1664;BOA VISTA;89230110;JOINVILLE;SC;BRASIL;110000;507-555-0132;katelyn1@adventure-works.com
